Название,Описание,Телеграмм канал
Норм работа,Понятные вакансии в Digital,https://t.me/normrabota
Event hunter,"Вакансии,  кастинги и пр творческой сферы
",https://t.me/mskeventjob
Мир креаторов,Здесь креаторы и проекты находят друг друга.,https://t.me/+R_KxUQG5hYo5ZjAy
Хорошая работа для всех,Преимущественно удаленная работа,https://t.me/g00djob4all
Дизайнер? Есть работа,Работа для новичков в дизайне ,https://t.me/workfordesigner
Удаленка для всех,Канал с работой для всех в Digital сфере в приоритете удаленно,https://t.me/worksvsem
Удаленка — вся творческая работа ,Публикация вакансий творческой сферы,https://t.me/rueventjob
Finder.work: работа и вакансии,Работа на любой вкус,https://t.me/theyseeku
careespace,Помощь в поиске любимой работы ,https://t.me/careerspace
Вакансии SMM и Digital ,Вакансии SMM и Digital ,https://t.me/dnative_job
Удаленка без опыта ,Официальная удалённая работа без опыта. Вакансии для начинающих ,https://t.me/noexperience
Distantsiya,Публикует вакансии на удаленке и фриланс-проекты. ,https://t.me/distantsiya
Лучшие вакансии ,"Лучшие вакансии, отобранные командой аналитиков. ",https://t.me/vacanciesbest
Ждем резюме | Лайфхакер,Вакансии в диджитале и медиа ,https://t.me/zdemcv
Marking jobs,"Вакансии для маркетологов, пиарщиков, рекламщиков и digital-специалистов",https://t.me/marketing_jobs
Мы вам перезвоним ,Свежие вакансии из digital и media с прямыми контактами работодателей,https://t.me/perezvonyu
Работа диджитал и медиа,"Вакансии для маркетологов, эсэмэмщиков, дизайнеров, редакторов и всех, кто работает в диджитал и медиа.",https://t.me/workasap
Больше джобсов ,Канал о работе в маркетинге и рекламе,https://t.me/morejobs
Digital вакансии в Telegram ,Digital вакансии в Telegram ,https://t.me/vacanciesrus
SEO HR,Digital-вакансии как офис так и удаленно,https://t.me/seohr
Dream job,Лучшие вакансии в крупных международных и российских компаниях,https://t.me/yojob
СЕТИ,Ежедневные подборки вакансий c прямыми контактами HR,https://t.me/it_vakansii_jobs
ФРИЛАНС,Актуальные вакансии для начинающих и среднего звена специалистов,https://t.me/uvetrovoi
Модный факультет ,"Работа в моде, медиа, pr и smm",https://t.me/fashionfaculty
media jobs ,Топовые вакансии в телеграмме ,https://t.me/mediajobs_ru
SMM работа вакансии ,"Свежие вакансии для smmщиков, таргетологов, директологов и других digital-специалистов каждый день!",https://t.me/vacancysmm
Юниор,Стажировки и вакансии для молодых специалистов в России и по всему миру.,https://t.me/yuniorapp
Работа для талантливых людей ,Работа талантам,https://t.me/talentedpeoples
Работа в комфорте ,Поиск работы для души,https://t.me/frilancekomfort
"Копирайтер, редактор - удаленно","Вакансии: удаленка для авторов, копирайтеров, редакторов",https://t.me/self_ma
КОНЬ НА РАБОТЕ,Интересные вакансии из всего мира,https://t.me/horseatwork
A-Teams,Публикация в креативной индустрии ,https://t.me/huggabletalents
БУДУ,Телеграмм канал от сайта https://budu.jobs,https://t.me/budujobs
"Я работаю в digital, детка","Находят самые сочные заказы и вакансии для разработчиков, дизайнеров, сммщиков и других специалистов с диджитала.",https://t.me/digital_rabota
DIGITAL Tender,Есть как постоянная работа так и для фриланса,https://t.me/digitaltender
Job for Junior ,Вакансии для начинающих специалистов в IT&Digital.,https://t.me/jobforjunior
чатик вакансий ,Здесь можно найти свою вакансию или контент - друга,https://t.me/vacantcist
Таверна,"Поиск Маркетинг спецов,  а так же резюме от опытных специалистов.",https://t.me/vakansii_smm
GetClient,Фриланс вакансии,https://t.me/GetClient
Digital и SMM - вакансии,"Здесь размещаем вакансии, связанные с digital, smm и работой с социальными сетями.",https://t.me/wildissimo_job
SMMLANCER,"Сообщество людей, работающих в социальных сетях.",https://t.me/smmlancer
Work on,Свежие вакансии проектного типа,https://t.me/workk_on
SSM,"Вакансии из мира соц-маркетинга, полезные подборки",https://t.me/smmfreelancer
ДЖОБСТЕР,Джобстер - сайт для поиска работы и сотрудников в Маркетинге и Диджитал,https://t.me/digital_jobster
Удаленно,Удалённая работа для диджитал специалистов,https://t.me/udafrii
SMM | DIGITAL | SEO | Вакансии,"Вакансии смм, диджитал, сео",https://t.me/smm_digital_rabota
Аксолотль | Фриланс проекты,"Предложения для фрилансеров и всех, кто ищет перспективы",https://t.me/board_axolotl
REMOTER,"Настоящий удаленщик всегда найдет здесь то, что ему по душе",https://t.me/TRemoters
Вакансии для Таргетологов,Свежие вакансии для таргетологов каждый день,https://t.me/jobfortarget
Вакансии для дизайнеров,Вакансии для веб-дизайнеров,https://t.me/designizer
Уголок дизайнера,"Заказы по дизайну, а так же резюме от опытных специалистов.",https://t.me/Designs_job
[WORK IN ART],"Вакансии и возможности в сфере дизайна, культуры и искусства",https://t.me/workinart
"Пиарщики, вакансии",Мэтчят крутых коммуникаторов с крутыми компаниями,https://t.me/rassvet_pro
Grintern,"Вакансии для студентов и начинающих специалистов без опыта: менеджмент, маркетинг, PR, агентства, стартапы. ",https://t.me/grinternru
DUAL КЛИК,"Вакансии в креативе, диджитале, маркетинге",https://t.me/cliquejobs
hired,Работа worldwide и remote ,https://t.me/hiredge
Ловись рыбка,Новости и вакансии в digital сфере,https://t.me/heyanie
Work in,Сообщество с вакансиями от пользователей ,https://t.me/Inwork
Есть контакт?,Вакансии в digital ,https://t.me/estcontact
Job for PM и SMM,Вакансии в PR и SMM,https://t.me/jobforpr
Job for Media & Content ,"Вакансии для редакторов, журналистов, копирайтеров и контент-менеджеров.",https://t.me/forallmedia
Connectable Jobs,Вакансии от 300+ зарубежных компаний с русскоговорящими фаундерами или командами,https://t.me/zarubezhom_jobs
Вакансии за рубежом,IT & Digitial вакансии за рубежом ,https://t.me/remote_jobs_relocate
Russian Speaking Jobs,Работа для русскоязычных специалистов за рубежом ,https://t.me/rusukrjobs
Релокация на море,"Вакансии для тех, кто хочет жить и работать на побережье ",https://t.me/sea_relocation
Brain Drain ,"Оплачиваемые стажировки, волонтерство и работа за рубежом",https://t.me/brain_drain_ru
Top -  Job,Вакансии за рубежом ,https://t.me/bestjob_ever
GDT,Сообщество и вакансии для gamedev ,https://t.me/gdjobs
Редактируем зп,Вакансии и проекты для копирайтеров ,https://t.me/edit_zp
Джоб оффер,"Интересные вакансии и стажировки из сферы диджитал, медиа и айти",https://t.me/workvc
эйчарли,Вакансии и предложения для Эйчаров ,https://t.me/HRorHR
Дизайн-биржа,Источник заказов для дизайнеров в тг,https://t.me/designbirzha
Бухта Фриланса ,Проекты и долгосрочная работа,https://t.me/FreelanceBay
Вся творческая работа,Вакансии в творческой/ивент сфере,https://t.me/spbeventjob
Работа в медиапроектах Т-банка,Работа в медиапроектах Т-банка,https://t.me/tj_collega
ВДХЛ,"Здесь вы найдете вакансии в сфере: Медиа, Дизайна, Креатива, Маркетинга, Рекламы и PR",https://t.me/vdhl_good
Люди в культуре,Вакансии в сфере культуры и креативных индустриях,https://t.me/Ludivkulture
Freelance Choice ,Удаленная диджитал работа,https://t.me/freelancechoice
Work for writers,"Вакансии для пишущих людей: копирайтеров, редакторов, etc",https://t.me/Work4writers
ЛОВИ ОФФЕР!,Место с актуальными вакансиями ,https://t.me/freelancefam
ПОМОГАТОР,Профессиональное сообщество заказчиков и исполнителей,https://t.me/the_pomogator
tuda suda,"Интересные предложения для профессионального роста: вакансии для молодых специалистов, стажировки, гранты, волонтёрские программы, образовательные курсы.",https://t.me/tudasuda_stagirovki
СЁРЧЕР,70+ крутых вакансий в будние дни,https://t.me/searcher_freelance
РАБОТА ИЗ ДОМА,Удаленные вакансии,https://t.me/freelance_joob
Mellow,"По будням публикуют подборки проектов, где нужны фрилансеры",https://t.me/allgigs
Голубь на фрилансе,"Свежие вакансии для копирайтеров, маркетологов, менджеров, разработчиков и всех, кто работает удаленно",https://t.me/freegolup
НАСТОЯЩИЙ ФРИЛАНС,Свежие вакансии в мире фриланса,https://t.me/proffreelancee
Дизайн на лям ,Графический и веб дизайн • иллюстрации • дизайн мобилок • UX/UI,https://t.me/workdesing
Jobpower,Креативные вакансии,https://t.me/jobpower
Континент фриланса,Удаленная работа,https://t.me/freelancekontinent
ВАКАНСИИ ДЛЯ ДИЗАЙНЕРОВ ,Вакансии для дизайнеров ,https://t.me/vakansii_dizaynerov
Мастерская копирайта,"Заказы по копирайтингу, а так же резюме от опытных специалистов",https://t.me/Copywriters_Job
Дизайнодром,Помогают быстро закрывать вакансии в сфере создания графического и видеоконтента,https://t.me/designodromo
Design Hunters,Вакансии для дизайнеров ,https://t.me/designhunters
СОВА на ФРИЛАНСЕ ,Digital вакансии на удаленной основе ,https://t.me/sova_freelance
FreeWorkFeed,Заказы и вакансии для фрилансеров,https://t.me/FreeWorkFeed
Таверна Таргетологов,Поиск таргетологов,https://t.me/vakansii_targetologi
Текстодром,"Помогают быстро закрывать вакансии, связанные с текстом/маркетингом",https://t.me/textodromo
Фриланс Таверна ,Паблик с интересными заказами в дизайне ,https://t.me/freelancetaverna
Работа в медиа,"Вакансии в нашем любимом сообществе в медиасфере, СМИ и digital❤️",https://t.me/dddwork
"Света публикует вакансии, чтобы все могли пить пиво в бар","Вакансии для авторов, копирайтеров, редакторов, главредов и других контентщиков. Вакансии публикую бесплатно, но нужно указать вилку или размер оплаты",https://t.me/duchaks_rabota
сладенькие вакансии,Для диджитал спецов,https://t.me/sweetyvacancies
Джунгли зовут!,"Отборные вакансии и стажировки, скидки на профильное образование и другие сногсшибательные рекомендации от Машер Казановой",https://t.me/jungleiscalling
